alpha,beta,CL,CD,CS
-3.98,0,-0.0928085464479478,0.0729227091606364,
-0.98,0,0.0975976087149834,0.0569314925879216,
1.02,0,0.2432302121698592,0.0508499883721048,
4.02,0,0.4901580399804894,0.0596982175179447,
7.02,0,0.697336389788348,0.0700785478950252,
10.02,0,0.884260682679401,0.0895424907363989,
13.02,0,1.0539900802909057,0.1113828975646606,
15.02,0,1.1618013687090745,0.1299731633516822,
17.02,0,1.2629756732575637,0.1491161255396673,
18.02,0,1.3104798022238848,0.1599507636070033,
19.02,0,1.1456181631510518,0.1996270493491316,
21.02,0,1.168594447404261,0.2248680467208645,
23.02,0,1.1866679251928496,0.2540285282209895,
25.02,0,1.186457694524116,0.283569774627759,
